epoch,avg_loss,accuracy,training_time,memory_usage
1,1.0156976002454758,0.859375,53.35879158973694,9872514048
2,0.23810928493738173,0.99,53.47844839096069,8812362240
3,0.12818068221211434,0.99625,55.07835936546326,8812362240
4,0.09698156148195267,0.9953125,54.938289403915405,8812362240
5,0.08167999677360058,0.9925,55.02702283859253,8812362240
6,0.05396465264260769,0.9975,54.94524884223938,8812362240
7,0.05499127246439457,0.995,54.93067955970764,8812362240
8,0.06006859112530947,0.989375,54.9410502910614,8812362240
9,0.037483091242611406,0.995625,54.975589990615845,8812362240
10,0.01916656393557787,1.0,55.00277543067932,8812362240
